seed,fold,train_NORMAL,train_PNEUMONIA,val_NORMAL,val_PNEUMONIA,train_ratio
42,0,62,65,16,17,1.0483870967741935
42,1,62,65,16,17,1.0483870967741935
42,2,62,66,16,16,1.064516129032258
42,3,63,66,15,16,1.0476190476190477
42,4,63,66,15,16,1.0476190476190477
43,0,62,65,16,17,1.0483870967741935
43,1,62,65,16,17,1.0483870967741935
43,2,62,66,16,16,1.064516129032258
43,3,63,66,15,16,1.0476190476190477
43,4,63,66,15,16,1.0476190476190477
44,0,62,65,16,17,1.0483870967741935
44,1,62,65,16,17,1.0483870967741935
44,2,62,66,16,16,1.064516129032258
44,3,63,66,15,16,1.0476190476190477
44,4,63,66,15,16,1.0476190476190477
45,0,62,65,16,17,1.0483870967741935
45,1,62,65,16,17,1.0483870967741935
45,2,62,66,16,16,1.064516129032258
45,3,63,66,15,16,1.0476190476190477
45,4,63,66,15,16,1.0476190476190477
46,0,62,65,16,17,1.0483870967741935
46,1,62,65,16,17,1.0483870967741935
46,2,62,66,16,16,1.064516129032258
46,3,63,66,15,16,1.0476190476190477
46,4,63,66,15,16,1.0476190476190477
47,0,62,65,16,17,1.0483870967741935
47,1,62,65,16,17,1.0483870967741935
47,2,62,66,16,16,1.064516129032258
47,3,63,66,15,16,1.0476190476190477
47,4,63,66,15,16,1.0476190476190477
